repo_name,organization,language,stars,forks,open_issues,age_days,has_coc,has_contributing,has_workflows,has_readme,description
build-your-own-x,codecrafters-io,Markdown,465892,43725,474,2838,False,False,False,True,Master programming by recreating your favorite technologies from scratch.
awesome,sindresorhus,,437387,33176,72,4236,False,True,True,True,😎 Awesome lists about all kinds of interesting topics
freeCodeCamp,freeCodeCamp,TypeScript,437065,43374,323,4069,False,False,True,True,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free."
public-apis,public-apis,Python,398362,42615,843,3617,False,True,True,True,A collective list of free APIs
free-programming-books,EbookFoundation,Python,382530,65905,72,4509,False,False,True,True,:books: Freely available programming books
developer-roadmap,kamranahmedse,TypeScript,349025,43697,32,3258,True,True,True,True,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
coding-interview-university,jwasham,,336976,81644,95,3540,False,False,True,True,A complete computer science study plan to become a software engineer.
system-design-primer,donnemartin,Python,335320,54413,524,3275,False,True,True,True,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
awesome-python,vinta,Python,282802,27205,17,4249,False,True,True,True,"An opinionated list of awesome Python frameworks, libraries, software and resources."
996.ICU,996icu,,275463,20964,16698,2517,False,False,False,True,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
awesome-selfhosted,awesome-selfhosted,,273203,12424,0,3911,False,False,True,True,A list of Free Software network services and web applications which can be hosted on your own servers
project-based-learning,practical-tutorials,,258277,33686,275,3230,False,True,True,True,Curated list of project-based tutorials
react,facebook,JavaScript,242990,50574,1115,4649,True,True,True,True,The library for web and native user interfaces.
Python,TheAlgorithms,Python,217675,50047,893,3500,False,True,True,True,All Algorithms implemented in Python
linux,torvalds,C,217354,60435,3,5276,False,False,False,True,Linux kernel source tree
vue,vuejs,TypeScript,209882,33880,622,4583,False,False,True,True,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
the-book-of-secret-knowledge,trimstray,,206262,12418,104,2793,False,False,True,True,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
computer-science,ossu,HTML,201254,25015,18,4304,False,True,True,True,🎓 Path to a free self-taught education in Computer Science!
javascript-algorithms,trekhleb,JavaScript,195532,31126,390,2884,True,True,True,True,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
openclaw,openclaw,TypeScript,193753,33323,5643,82,False,True,True,True,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 
tensorflow,tensorflow,C++,193706,75228,3550,3752,True,True,True,True,An Open Source Machine Learning Framework for Everyone
ohmyzsh,ohmyzsh,Shell,184682,26285,513,6013,True,True,True,True,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community."
You-Dont-Know-JS,getify,,184393,33667,3,4473,False,True,True,True,A book series (2 published editions) on the JS language.
CS-Notes,CyC2018,,183673,51201,194,2923,False,False,False,True,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
AutoGPT,Significant-Gravitas,Python,181797,46222,328,1066,True,True,True,True,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
vscode,microsoft,TypeScript,181684,37936,13869,3816,False,True,True,True,Visual Studio Code
Python-100-Days,jackfrued,Jupyter Notebook,178656,55402,688,2907,False,False,False,True,Python - 100天从新手到大师
flutter,flutter,Dart,175189,29981,12448,3997,True,True,True,True,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
n8n,n8n-io,TypeScript,174512,54840,1365,2429,True,True,True,True,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations."
bootstrap,twbs,MDX,173966,79114,577,5313,True,False,True,True,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
gitignore,github,,172430,82840,94,5576,False,True,True,True,A collection of useful .gitignore templates
Microsoft-Activation-Scripts,massgravel,Batchfile,166018,15977,4,2224,False,False,False,True,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, and Online KMS activation methods, along with advanced troubleshooting."
awesome-go,avelino,Go,165014,12963,182,4241,True,True,True,True,"A curated list of awesome Go frameworks, libraries and software"
ollama,ollama,Go,162596,14576,2419,963,False,True,True,True,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models."
stable-diffusion-webui,AUTOMATIC1111,Python,160545,29956,2459,1272,False,False,True,True,Stable Diffusion web UI
the-art-of-command-line,jlevy,,159822,14773,251,3923,False,True,False,True,"Master the command line, in one page"
